# Time	[ADP]	[ATP]	[G6P]	[Glu]	[F6P]	[F1,6BP]	[DHAP]	[GA3P]	[1,3BPG]	[3PG]	[2PG]	[PEP]	[Pyr]	
0.027	0.2006	1.5994	0.000166206	0.912357	2.06648e-06	6.22496e-09	1.49337e-07	4.99982e-08	4.31725e-08	1.24719e-07	4.58948e-08	6.18498e-09	1.28162e-09	
0.028	0.200623	1.59938	0.000172982	0.940756	2.19547e-06	6.61868e-09	1.63493e-07	5.41842e-08	4.71327e-08	1.39229e-07	5.32298e-08	7.43373e-09	1.60622e-09	
0.029	0.200646	1.59935	0.000179764	0.968843	2.32629e-06	7.01812e-09	1.78255e-07	5.85157e-08	5.1258e-08	1.54636e-07	6.13298e-08	8.86266e-09	1.99395e-09	
0.03	0.200669	1.59933	0.000186552	0.996624	2.45882e-06	7.42291e-09	1.93609e-07	6.29888e-08	5.55454e-08	1.70937e-07	7.02303e-08	1.04874e-08	2.45349e-09	
0.031	0.200692	1.59931	0.000193346	1.02411	2.59294e-06	7.83267e-09	2.09542e-07	6.75999e-08	5.99921e-08	1.88132e-07	7.99657e-08	1.23237e-08	2.99422e-09	
0.032	0.200715	1.59928	0.000200144	1.05129	2.72856e-06	8.2471e-09	2.26038e-07	7.23453e-08	6.45947e-08	2.06214e-07	9.05692e-08	1.43878e-08	3.62622e-09	
0.033	0.200738	1.59926	0.000206948	1.07819	2.86557e-06	8.66587e-09	2.43082e-07	7.72211e-08	6.93501e-08	2.25179e-07	1.02073e-07	1.66961e-08	4.36025e-09	
0.034	0.200761	1.59924	0.000213755	1.10481	3.00388e-06	9.08871e-09	2.6066e-07	8.22238e-08	7.42549e-08	2.45019e-07	1.14506e-07	1.92651e-08	5.20782e-09	
0.035	0.200784	1.59922	0.000220566	1.13114	3.1434e-06	9.51533e-09	2.78755e-07	8.73496e-08	7.93057e-08	2.65725e-07	1.27898e-07	2.21114e-08	6.18109e-09	
0.036	0.200807	1.59919	0.000227381	1.15721	3.28406e-06	9.94549e-09	2.97353e-07	9.25948e-08	8.44992e-08	2.87288e-07	1.42277e-07	2.52516e-08	7.29298e-09	
0.037	0.20083	1.59917	0.0002342	1.183	3.42577e-06	1.03789e-08	3.16439e-07	9.79559e-08	8.98318e-08	3.09697e-07	1.57668e-07	2.87024e-08	8.55706e-09	
0.038	0.200853	1.59915	0.000241021	1.20853	3.56847e-06	1.08155e-08	3.35995e-07	1.03429e-07	9.53002e-08	3.3294e-07	1.74095e-07	3.24802e-08	9.98759e-09	
0.039	0.200876	1.59912	0.000247845	1.2338	3.71209e-06	1.12549e-08	3.56009e-07	1.09012e-07	1.00901e-07	3.57006e-07	1.91581e-07	3.66017e-08	1.15995e-08	
0.04	0.200899	1.5991	0.000254672	1.25881	3.85657e-06	1.1697e-08	3.76463e-07	1.14699e-07	1.0663e-07	3.81879e-07	2.10147e-07	4.10832e-08	1.34084e-08	
0.041	0.200922	1.59908	0.000261502	1.28358	4.00185e-06	1.21416e-08	3.97344e-07	1.20489e-07	1.12485e-07	4.07548e-07	2.29813e-07	4.59409e-08	1.54305e-08	
0.042	0.200945	1.59906	0.000268334	1.3081	4.14787e-06	1.25885e-08	4.18636e-07	1.26377e-07	1.18461e-07	4.33996e-07	2.50598e-07	5.11906e-08	1.76827e-08	
0.043	0.200968	1.59903	0.000275167	1.33237	4.2946e-06	1.30376e-08	4.40325e-07	1.3236e-07	1.24556e-07	4.61209e-07	2.72516e-07	5.68482e-08	2.01824e-08	
0.044	0.200991	1.59901	0.000282003	1.35641	4.44198e-06	1.34888e-08	4.62396e-07	1.38436e-07	1.30766e-07	4.89173e-07	2.95585e-07	6.29289e-08	2.29478e-08	
0.045	0.201014	1.59899	0.000288841	1.38021	4.58997e-06	1.39418e-08	4.84837e-07	1.446e-07	1.37087e-07	5.1787e-07	3.19816e-07	6.94479e-08	2.59974e-08	
0.046	0.201037	1.59896	0.00029568	1.40378	4.73852e-06	1.43966e-08	5.07632e-07	1.50851e-07	1.43517e-07	5.47285e-07	3.45223e-07	7.64198e-08	2.93504e-08	
0.047	0.20106	1.59894	0.000302521	1.42712	4.88761e-06	1.48531e-08	5.30769e-07	1.57184e-07	1.50051e-07	5.77401e-07	3.71815e-07	8.38588e-08	3.30266e-08	
0.048	0.201083	1.59892	0.000309364	1.45024	5.03719e-06	1.53111e-08	5.54234e-07	1.63597e-07	1.56687e-07	6.08204e-07	3.99603e-07	9.17791e-08	3.70461e-08	
0.049	0.201106	1.59889	0.000316207	1.47314	5.18723e-06	1.57705e-08	5.78016e-07	1.70088e-07	1.63422e-07	6.39675e-07	4.28594e-07	1.00194e-07	4.14296e-08	
0.05	0.201129	1.59887	0.000323052	1.49582	5.3377e-06	1.62313e-08	6.02101e-07	1.76653e-07	1.70252e-07	6.71798e-07	4.58794e-07	1.09116e-07	4.61982e-08	
0.051	0.201152	1.59885	0.000329898	1.51829	5.48857e-06	1.66934e-08	6.26478e-07	1.8329e-07	1.77174e-07	7.04558e-07	4.90209e-07	1.18559e-07	5.13734e-08	
0.052	0.201175	1.59882	0.000336745	1.54055	5.63981e-06	1.71566e-08	6.51135e-07	1.89995e-07	1.84186e-07	7.37937e-07	5.22842e-07	1.28533e-07	5.69771e-08	
0.053	0.201198	1.5988	0.000343593	1.5626	5.7914e-06	1.76208e-08	6.76061e-07	1.96767e-07	1.91283e-07	7.71918e-07	5.56698e-07	1.39052e-07	6.30316e-08	
0.054	0.201221	1.59878	0.000350442	1.58445	5.94332e-06	1.80861e-08	7.01245e-07	2.03604e-07	1.98464e-07	8.06486e-07	5.91776e-07	1.50125e-07	6.95595e-08	
0.055	0.201244	1.59876	0.000357291	1.6061	6.09554e-06	1.85524e-08	7.26676e-07	2.10501e-07	2.05726e-07	8.41625e-07	6.28079e-07	1.61763e-07	7.65835e-08	
0.056	0.201267	1.59873	0.000364142	1.62755	6.24804e-06	1.90195e-08	7.52343e-07	2.17459e-07	2.13065e-07	8.77317e-07	6.65605e-07	1.73976e-07	8.4127e-08	
0.057	0.20129	1.59871	0.000370992	1.6488	6.4008e-06	1.94874e-08	7.78238e-07	2.24473e-07	2.20479e-07	9.13547e-07	7.04352e-07	1.86774e-07	9.22131e-08	
0.058	0.201313	1.59869	0.000377844	1.66987	6.55382e-06	1.99561e-08	8.0435e-07	2.31541e-07	2.27965e-07	9.50299e-07	7.44319e-07	2.00166e-07	1.00866e-07	
0.059	0.201336	1.59866	0.000384695	1.69074	6.70705e-06	2.04255e-08	8.3067e-07	2.38663e-07	2.35522e-07	9.87558e-07	7.85501e-07	2.14159e-07	1.10108e-07	
0.06	0.201359	1.59864	0.000391547	1.71143	6.86051e-06	2.08956e-08	8.57189e-07	2.45835e-07	2.43145e-07	1.02531e-06	8.27895e-07	2.28762e-07	1.19965e-07	
0.061	0.201382	1.59862	0.0003984	1.73193	7.01416e-06	2.13662e-08	8.83899e-07	2.53056e-07	2.50833e-07	1.06353e-06	8.71494e-07	2.43982e-07	1.3046e-07	
0.062	0.201405	1.59859	0.000405253	1.75225	7.16799e-06	2.18375e-08	9.10791e-07	2.60323e-07	2.58584e-07	1.10222e-06	9.16293e-07	2.59825e-07	1.41617e-07	
0.063	0.201428	1.59857	0.000412106	1.77239	7.32199e-06	2.23093e-08	9.37858e-07	2.67635e-07	2.66394e-07	1.14136e-06	9.62285e-07	2.76298e-07	1.5346e-07	
